등록번호,서명,저자,발행처,발행연도,서고,청구기호
E566315,과학기술의 철학적 이해,한양대학교,한양대학교 출판부,2021,사회자연과학자료실(2층),401 한63ㄱ6 v.2
E566316,(10대들을 위한)나의 문화유산답사기,유홍준,창비,2019,인문과학자료실(3층),981.102 유95ㄴ v.2
E566317,(10대들을 위한) 나의 문화유산답사기,유홍준,창비,2020,인문과학자료실(3층),981.102 유95ㄴ v.3
E566318,(10대들을 위한)나의 문화유산답사기,유홍준,창비,2021,인문과학자료실(3층),981.102 유95ㄴ v.4
E566319,(10대를 위한) 나의 첫 건축 수업,배상규,시프,2022,사회자연과학자료실(2층),372.68 W736aKㅂ
E566320,(10대를 위한) 나의 첫 고전 읽기 수업,박균호,다른,2021,인문과학자료실(3층),029 박15ㄴ
E566321,(10대를 위한)나의 첫 공학 수업,"매컬리, 패멀라",시프,2021,사회자연과학자료실(2층),372.68 M123eKㄱ
E566322,(10대를 위한) 나의 첫 시쓰기 수업,박용진,다른,2021,인문과학자료실(3층),802 박65ㄴ
E566323,(10대를 위한) 나의 첫 철학 읽기 수업,박균호,다른,2022,인문과학자료실(3층),100 박15ㄴ
E566324,1주일만에 좋아지는 자율신경,小林弘幸,시그마북스,2026,사회자연과학자료실(2층),513.83 소298ㅇKㅈ
E566325,3차원측정 입문,김형주,복두,2026,사회자연과학자료실(2층),551.29 김94ㅅ
E566326,500가지 건축으로 읽는 세계사,"Collins, Sophie",(주)현대지성,2026,커뮤니티라운지(1층-인기도서),909 C713hKㅅ
E566327,(AI의 선택을 부르는) AEO·GEO 생존전략,이재홍,미래의창,2026,커뮤니티라운지(1층-인기도서),321.97 이73ㅇ
E566328,AI 네이티브 코리아,매일경제 국민보고대회팀,매일경제신문사,2026,사회자연과학자료실(2층),331.5412 매68ㅇ
E566329,가족이라는 사치,진미정,김영사,2026,사회자연과학자료실(2층),332.2 진38ㄱ
E566330,가짜 인간,박영란,마음이음,2022,인문과학자료실(3층),813.7 박64ㄱ
E566331,감정에 이름 붙이기,윤주은,문예춘추사,2026,커뮤니티라운지(1층-인기도서),818 윤76ㄱ
E566332,개처럼 인생을 살아라,Diogenes Läertios,모티브,2025,인문과학자료실(3층),160.2 D591hKㅇ
E566333,게이트우드 할머니의 발자국,"Montgomery, Ben",수오서재,2026,인문과학자료실(3층),848 M787gKㅇ
E566334,계급욕망의 유전자,서현,효형출판,2026,인문과학자료실(3층),909 서94ㄱ
E566335,고체전자공학,"Streetman, Ben G.‏",성진미디어,2015,사회자연과학자료실(2층),569.4 S915sKㄱ
E566336,공간에 담긴 인간의 이야기,은민균,아리도시건축,2026,사회자연과학자료실(2층),540 은38ㄱ
E566337,공간의 내재성,장용순,ESA,2026,사회자연과학자료실(2층),540.01 장65ㄱ2
E566338,공급망관리의 이해,진현웅,청람,2024,사회자연과학자료실(2층),325.6 진94ㄱ
E566339,과학은 암기가 아닙니다,주광호,성림원북스,2026,사회자연과학자료실(2층),373.4 주14ㄱ
E566340,광고관리,안광호,학현사,2020,사회자연과학자료실(2층),325.7 안14ㄱ4
E566341,괜찮지 않은 날에도 괜찮은 척한 너에게,이미정,길벗,202,인문과학자료실(3층),186.5 미52ㅈKㅇ
E566342,글쓰기 싫을 때 읽는 책,금정연,북트리거,2026,인문과학자료실(3층),818 금74ㄱ
E566343,(기본기에 충실한) 기초회로실험,임종식,위즈덤플(WisdomPL),2026,사회자연과학자료실(2층),561.1 임75ㄱ
E566344,(김경일의) 마음 트래킹,김경일,21세기북스,2026,커뮤니티라운지(1층-인기도서),189 김13ㅁ
E566345,나는 AI로 급등주에 투자한다,곽경일,RHK(알에이치코리아),2026,사회자연과학자료실(2층),327.856 곽13ㄴ
E566346,나는 매일 아침 피를 봅니다,박상욱,시공사,2026,인문과학자료실(3층),818 박52ㄴ
E566347,나는 이렇게 나이 들기로 했다,신은경,샘터,2026,인문과학자료실(3층),818 신67ㄴ
E566348,나도 사장은 처음이라,박태훈,다산북스,2026,사회자연과학자료실(2층),325.11 박883ㄴ
E566349,나르시시스트 죽이기,"Wardetzky, Barbel",서교책방,2026,커뮤니티라운지(1층-인기도서),189.2 W265bKㄱ
E566350,나쁜 의도는 없었습니다,손원평,창비,2026,인문과학자료실(3층),813.7 손66ㄴ
E566351,나의 친구들,"Backman, Fredrik",다산북스,2026,커뮤니티라운지(1층-인기도서),859.7 B126mKㅇ
E566352,나이 들어 보여서 미치겠어요,정진호,해냄(해냄출판사),2026,사회자연과학자료실(2층),593.2 정78ㄴ
E566353,남의 불행을 먹고 사는 사람들,이동원,라곰,2026,커뮤니티라운지(1층-인기도서),813.7 이24ㄴ
E566354,남의 비위 맞추기는 이제 그만,황위링,미디어숲,2023,커뮤니티라운지(1층-인기도서),325.211 황65ㅂKㅇ
E566355,남한산성,김훈,학고재,2021,인문과학자료실(3층),813.7 김96ㄴ2
E566356,(내 손으로 고치는) 빈티지 오디오,김동희,좋은땅,2026,사회자연과학자료실(2층),569 김24ㅂ
E566357,너의 나쁜 무리,예소연,한겨레엔,2026,커뮤니티라운지(1층-인기도서),813.7 예55ㄴ
E566358,널 구원할 시간 4분 33초,태전자직,오리지널스,2026,인문과학자료실(3층),833.6 태74ㅁKㅇ
E566359,네일 케어 & 아트,김수연,구민사,2026,사회자연과학자료실(2층),593.25 김56ㄴ
E566360,노 모어 나이트메어,이도해,자음과모음,2026,인문과학자료실(3층),808.91 이24ㄴ
